Epoch: [1][147/362]	Time 0.447 (0.799)	Data 0.001 (0.121)	Loss 0.2925 (1.0683)	MAE 0.466 (0.862)
Epoch: [1][148/362]	Time 0.466 (0.796)	Data 0.001 (0.120)	Loss 0.2993 (1.0631)	MAE 0.526 (0.859)
Epoch: [1][149/362]	Time 0.451 (0.794)	Data 0.001 (0.119)	Loss 0.5150 (1.0594)	MAE 0.617 (0.858)
Epoch: [1][150/362]	Time 1.215 (0.797)	Data 0.001 (0.118)	Loss 0.3140 (1.0545)	MAE 0.466 (0.855)
Epoch: [1][151/362]	Time 0.472 (0.795)	Data 0.001 (0.118)	Loss 0.4044 (1.0501)	MAE 0.645 (0.854)
Epoch: [1][152/362]	Time 0.717 (0.794)	Data 0.002 (0.117)	Loss 0.3101 (1.0453)	MAE 0.543 (0.852)
Epoch: [1][153/362]	Time 1.031 (0.796)	Data 0.044 (0.116)	Loss 0.3432 (1.0407)	MAE 0.544 (0.850)
Epoch: [1][154/362]	Time 1.086 (0.798)	Data 0.001 (0.116)	Loss 0.4728 (1.0370)	MAE 0.601 (0.848)
Epoch: [1][155/362]	Time 0.512 (0.796)	Data 0.001 (0.115)	Loss 0.4789 (1.0334)	MAE 0.576 (0.846)
Epoch: [1][156/362]	Time 0.456 (0.794)	Data 0.001 (0.114)	Loss 0.4484 (1.0296)	MAE 0.606 (0.845)
Epoch: [1][157/362]	Time 1.319 (0.797)	Data 0.001 (0.113)	Loss 0.5855 (1.0268)	MAE 0.710 (0.844)
Epoch: [1][158/362]	Time 1.219 (0.800)	Data 0.024 (0.113)	Loss 0.2896 (1.0222)	MAE 0.480 (0.842)
Epoch: [1][159/362]	Time 0.667 (0.799)	Data 0.007 (0.112)	Loss 0.4784 (1.0187)	MAE 0.606 (0.840)
Epoch: [1][160/362]	Time 1.854 (0.805)	Data 0.001 (0.111)	Loss 0.7668 (1.0172)	MAE 0.682 (0.839)
Epoch: [1][161/362]	Time 1.148 (0.808)	Data 0.062 (0.111)	Loss 0.6569 (1.0149)	MAE 0.788 (0.839)
Epoch: [1][162/362]	Time 1.203 (0.810)	Data 0.049 (0.111)	Loss 0.5093 (1.0118)	MAE 0.620 (0.837)
Epoch: [1][163/362]	Time 0.490 (0.808)	Data 0.001 (0.110)	Loss 0.3997 (1.0080)	MAE 0.549 (0.836)
Epoch: [1][164/362]	Time 0.457 (0.806)	Data 0.001 (0.109)	Loss 0.4249 (1.0045)	MAE 0.625 (0.834)
Epoch: [1][165/362]	Time 0.506 (0.804)	Data 0.002 (0.109)	Loss 0.5990 (1.0020)	MAE 0.710 (0.834)
